symbol,horizon_hours,selected_model,balanced_accuracy,accuracy,n_features,n_test,macro_f1,weighted_f1,val_balanced_accuracy,n_train,n_val,train_mode,val_GradientBoosting,val_ExtraTrees
BTCUSDT,1,GradientBoosting,0.4305649968500347,0.4476740455566249,98,15585,0.4206199065940119,0.4307293398419959,0.4428640279017379,46752.0,15584.0,quick,0.4428640279017379,0.4427336738210027
ETHUSDT,1,GradientBoosting,0.4122823811847702,0.4221637577002053,102,15584,0.4139046172891801,0.418673727011648,0.4422568465796622,46750.0,15583.0,quick,0.4422568465796622,0.4184239581141507
SOLUSDT,1,GradientBoosting,0.39531516945394735,0.40005782575173476,105,10376,0.3927081871729005,0.394491337952814,0.36860666079236837,31123.0,10374.0,quick,0.36860666079236837,0.35029371183873104
